company_id,year,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,sales,net_profit,eps,dividend_payout,net_cash_flow,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,broad_sector,peer_group_name,composite_quality_score
HEROMOTOCO,2021.0,19.045147898287492,0.0,9.483510449303918,86.89557156238897,0.03788271925272444,48.67088607594937,1.3404485625216487,30959.0,2936.0,146.0,72.0,-31.0,1262310.05,56.18,12.27,0.69,Consumer Discretionary,Automobiles,0
ONGC,2022.0,18.995541477362497,0.0,10.03448374134344,16.259470815029538,0.4700754904567577,15.216116573033707,0.8422418818365738,491246.0,49294.0,36.0,29.0,1261.0,406613.69,44.82,14.33,4.48,Energy,Oil & Gas,0
JINDALSTEL,2022.0,18.992280701754385,0.0,13.223625063518742,30.322870656295198,0.37900350877192984,7.243114406779661,0.6675799801680496,51166.0,6766.0,56.0,5.0,-1403.0,349306.1,47.36,3.25,4.38,Materials,Steel,0
ICICIGI,2018.0,18.982602950891874,0.0,12.471064814814815,103.79050925925925,0.1068046685752037,4.569789674952199,0.2323361344537815,6912.0,862.0,19.0,17.0,398.0,,,,,Financials,,0
DABUR,2023.0,18.956870611835505,0.0,14.752818733738074,18.751084128360798,0.13083695531037556,33.42307692307692,0.8445648989159098,11530.0,1701.0,10.0,54.0,-130.0,61939.24,74.55,11.51,2.27,Consumer Staples,FMCG,0
GODREJCP,2020.0,18.95416561154723,0.0,15.104429421854505,21.733427504792655,0.45264623955431754,9.587719298245615,0.6660618279569892,9911.0,1497.0,15.0,55.0,-259.0,973100.39,55.52,0.6,4.08,Consumer Staples,FMCG,0
ICICIGI,2013.0,18.877005347593585,0.0,8.798604187437686,104.46161515453637,0.0,7.145051194539249,0.3174804146553771,4012.0,353.0,8.0,0.0,124.0,,,,,Financials,,0
ADANIENSOL,2018.0,18.87072808320951,0.0,28.98073022312373,71.65314401622717,1.7216443784051512,3.31489841986456,0.22843903851723138,3944.0,1143.0,10.0,0.0,596.0,,,,,Energy,,0
PIDILITIND,2022.0,18.847595252966894,0.0,12.166112287067836,18.707791553270837,0.06495940037476577,45.11904761904762,1.044975774173162,9921.0,1207.0,24.0,42.0,-71.0,174189.7,35.42,3.26,4.17,Materials,,0
BAJFINANCE,2024.0,18.841921351830603,0.0,26.287928399912687,29.285818234737686,3.824788776468134,2689.1666666666665,0.14630251608816688,54972.0,14451.0,233.0,15.0,2484.0,2473271.58,69.2,4.11,0.27,Financials,Consumer Finance,0
HDFCBANK,2013.0,18.838523046693776,0.0,19.249323777920306,35.22210758205293,9.158311273640258,1.7721856161502874,0.08795432192934909,35861.0,6903.0,14.0,19.0,6356.0,,,,,Financials,Private Banks,0
DIVISLAB,2020.0,18.83720930232558,0.0,25.528364849833146,33.852428624397476,0.00533515731874145,287.42857142857144,0.6322822646817489,5394.0,1377.0,52.0,31.0,41.0,1300303.75,30.35,3.22,0.23,Healthcare,Pharmaceuticals,0
HAVELLS,2019.0,18.770843258694615,0.0,7.822892881961679,11.803832026208678,0.022391615054787994,82.0625,1.409205372132065,10073.0,788.0,13.0,36.0,368.0,1408366.0,65.28,10.66,0.48,Industrials,,0
UNITDSPR,2023.0,18.76979496582764,0.0,10.610629476064833,13.352808141726346,0.030505084180696782,16.01923076923077,1.0922190201729107,10612.0,1126.0,16.0,0.0,60.0,,,,,,,0
RECLTD,2017.0,18.749071901636423,0.0,25.938861040348428,92.2425836141014,4.9850613287398655,1.6694399049175457,0.11576018454660039,24338.0,6313.0,24.0,30.0,2757.0,,,,,Financials,,0
PFC,2013.0,18.741554054054056,0.0,25.63243617881483,34.578953448076696,5.889907094594594,0.5456116416552979,0.10225004429221048,17314.0,4438.0,13.0,21.0,2868.0,,,,,Financials,,0
VEDL,2017.0,18.72734795200662,0.0,15.667705088265835,29.596400138456215,1.1844269755895738,4.406319385140905,0.36672488905588335,72225.0,11316.0,23.0,83.0,8339.0,,,,,,,0
WIPRO,2022.0,18.719324801614604,0.0,15.436503933830947,21.03590881581602,0.2689937770438665,35.24624060150376,0.7393265968156904,79312.0,12243.0,11.0,27.0,-6583.0,,,,,,,0
BAJFINANCE,2015.0,18.708333333333332,0.0,16.654302670623146,32.49258160237389,5.553125,68.34615384615384,0.16449054301403296,5392.0,898.0,18.0,10.0,-557.0,,,,,Financials,Consumer Finance,0
ADANIGREEN,2022.0,18.706962509563887,0.0,9.526592635885448,68.42002727449834,20.211170619739864,1.5357279327474207,0.08706788343454218,5133.0,489.0,3.0,0.0,383.0,495446.05,37.61,5.59,3.37,Energy,Power & Utilities,0
ATGL,2024.0,18.65921787709497,0.0,14.927374301675977,24.670391061452516,0.43491620111731844,10.504504504504505,0.6788531553398058,4475.0,668.0,6.0,4.0,,1535602.41,56.96,5.76,0.51,Energy,,0
HCLTECH,2021.0,18.64203094487006,0.0,14.817124132716009,26.596266864776663,0.11456612087526914,41.04696673189824,0.8760212442037492,75379.0,11169.0,41.0,24.0,2761.0,260125.17,77.74,7.77,3.07,Information Technology,IT Services,0
